REF_AREA,TIME_PERIOD,OBS_VALUE,category
DNK,2002-Q2,33885.9,Investment
DNK,1972-Q3,4992.8,Public_spending
DNK,1972-Q2,4901.9,Public_spending
DNK,2010-Q2,42562.8,Investment
DNK,1974-Q3,6589.8,Public_spending
DNK,1974-Q2,6237.1,Public_spending
DNK,1974-Q1,5963.6,Public_spending
DNK,1973-Q4,5699.6,Public_spending
DNK,1973-Q3,5475,Public_spending
DNK,1973-Q2,5304.6,Public_spending
DNK,1973-Q1,5173,Public_spending
DNK,1995-Q2,22160,Investment
DNK,1979-Q2,10886.7,Public_spending
DNK,1979-Q1,10527.4,Public_spending
DNK,1978-Q4,10140.1,Public_spending
DNK,1978-Q3,9795.4,Public_spending
DNK,1978-Q2,9424.5,Public_spending
DNK,1978-Q1,9114.4,Public_spending
DNK,1977-Q4,8969.5,Public_spending
DNK,1977-Q3,8706.2,Public_spending
DNK,1977-Q2,8361.6,Public_spending
DNK,1977-Q1,8246.1,Public_spending
DNK,1976-Q4,8219.1,Public_spending
DNK,1976-Q3,8041.8,Public_spending
DNK,1976-Q2,7917,Public_spending
DNK,1976-Q1,7680.8,Public_spending
DNK,1975-Q4,7382.6,Public_spending
DNK,1975-Q3,7413.7,Public_spending
DNK,1975-Q2,7201,Public_spending
DNK,1972-Q1,4805.8,Public_spending
DNK,1989-Q1,21428.6,Public_spending
DNK,1988-Q4,21394.8,Public_spending
DNK,1988-Q3,21117.2,Public_spending
DNK,1988-Q2,21103,Public_spending
DNK,1988-Q1,19925.6,Public_spending
DNK,1987-Q4,19986,Public_spending
DNK,1987-Q3,19834.6,Public_spending
DNK,1987-Q2,19635.9,Public_spending
DNK,1987-Q1,18956.7,Public_spending
DNK,1986-Q4,18369.9,Public_spending
DNK,1986-Q3,18101.3,Public_spending
DNK,1986-Q2,17967.8,Public_spending
DNK,1986-Q1,18059.2,Public_spending
DNK,1985-Q4,17988.7,Public_spending
DNK,1985-Q3,17850.4,Public_spending
DNK,1985-Q2,17664.3,Public_spending
DNK,1985-Q1,17440.5,Public_spending
DNK,1984-Q4,17172,Public_spending
DNK,1984-Q3,16828.5,Public_spending
DNK,1984-Q2,16756.5,Public_spending
DNK,1984-Q1,16667.8,Public_spending
DNK,1983-Q4,16677,Public_spending
DNK,1983-Q3,16583.7,Public_spending
DNK,1983-Q2,16520,Public_spending
DNK,1983-Q1,16519.1,Public_spending
DNK,1982-Q4,16518.7,Public_spending
DNK,1982-Q3,16170.2,Public_spending
DNK,1982-Q2,15865.1,Public_spending
DNK,1982-Q1,15337,Public_spending
DNK,1981-Q4,14931.3,Public_spending
DNK,1981-Q3,14451.5,Public_spending
DNK,1981-Q2,14180.5,Public_spending
DNK,1981-Q1,13674.1,Public_spending
DNK,1980-Q4,13203.1,Public_spending
DNK,1980-Q3,12963.4,Public_spending
DNK,1963-Q3,1558.5,Public_spending
DNK,1972-Q4,5088.7,Public_spending
DNK,1963-Q1,1550,Public_spending
DNK,1962-Q4,1554.1,Public_spending
DNK,1962-Q3,1480.3,Public_spending
DNK,1962-Q2,1463.3,Public_spending
DNK,1962-Q1,1419.7,Public_spending
DNK,1961-Q4,1365,Public_spending
DNK,1961-Q3,1315.2,Public_spending
DNK,1961-Q2,1242.9,Public_spending
DNK,1961-Q1,1180.8,Public_spending
DNK,1960-Q4,1124.5,Public_spending
DNK,1960-Q3,1082.8,Public_spending
DNK,1960-Q2,1048.5,Public_spending
DNK,1960-Q1,1037,Public_spending
DNK,2019-Q2,84236.1,Public_spending
DNK,2019-Q1,82903.4,Public_spending
DNK,2018-Q4,82076.5,Public_spending
DNK,2018-Q3,80960.7,Public_spending
DNK,2018-Q2,80848.4,Public_spending
DNK,2018-Q1,80493.4,Public_spending
DNK,2017-Q4,79608.3,Public_spending
DNK,2017-Q3,79180.8,Public_spending
DNK,2017-Q2,77452.3,Public_spending
DNK,2017-Q1,76427.1,Public_spending
DNK,2016-Q4,74355,Public_spending
DNK,2016-Q3,75295,Public_spending
DNK,2016-Q2,74339.4,Public_spending
DNK,2016-Q1,73148.7,Public_spending
DNK,2015-Q4,71540.4,Public_spending
DNK,2015-Q3,71640.3,Public_spending
DNK,2015-Q2,71068.1,Public_spending
DNK,2015-Q1,70702.7,Public_spending
DNK,2014-Q4,70841.6,Public_spending
DNK,2014-Q3,70487,Public_spending
DNK,2014-Q2,69237,Public_spending
DNK,2014-Q1,69270,Public_spending
DNK,2013-Q4,69618.7,Public_spending
DNK,2013-Q3,69365.6,Public_spending
DNK,2013-Q2,67857.5,Public_spending
DNK,2013-Q1,66912,Public_spending
DNK,2012-Q4,68319.2,Public_spending
DNK,2012-Q3,66181.7,Public_spending
DNK,2012-Q2,65645.1,Public_spending
DNK,2012-Q1,65762.2,Public_spending
DNK,2011-Q4,64790,Public_spending
DNK,2011-Q3,65940.9,Public_spending
DNK,2011-Q2,66967.8,Public_spending
DNK,2011-Q1,65579.8,Public_spending
DNK,2010-Q4,66032.2,Public_spending
DNK,2010-Q3,65631.7,Public_spending
DNK,2010-Q2,65228.2,Public_spending
